Library Code,AREA,Subject ,Title,Author,Publication
NC-CN-003,,,DATA COMMUNICATIONS AND NETWORKING 4TH EDITION,BEHROUZ A FOROUZAN,TATA MCGRAW HILL
NC-CN-004,,,DATA COMMUNICATIONS AND NETWORKING 3RD EDITION,BEHROUZ A FOROUZAN,TATA MCGRAW HILL
NC-CN-005,,,DATA COMMUNICATION AND COMPUTER NETWORKS ,ISRD GROUP,TATA MCGRAW HILL
NC-CN-006,,,DATA COMMUNICATION AND COMPUTER NETWORKS ,ISRD GROUP,TATA MCGRAW HILL
NC-CN-007,,,NETWORKING TECHNOLOGIES FOR DIGITAL DEVICES ,J. S. KATRE,TECHMAX
NC-CN-008,,,COMPUTER NETWORK FUNDAMENTALS AND APPLICATIONS,R S RAJESH,VIKAS
NC-CN-009,,,COMPUTER COMMUNICATIONS AND NETWORKING TECHNOLOGIES,MICHAEL A. GALLO,THOMSON
NC-CN-010,,,NETWORK MANAGEMENT PRINCIPAL AND PRACTICE,MANI SUBRAMANIAN,PEARSON
NC-CN-011,,,WIRELESS COMMUNICATION ,T L SINGAL,TATA MCGRAW HILL
NC-CN-012,,,DATA COMMUNICATION AND NETWORKING ,FOROUZAN ,TATA MCGRAW HILL
NC-CN-013,,,WIRELESS COMMUNICATION AND NETWORKING,WINCON,L&T
NC-CN-014,,,DATA COMMUNICATIONS AND NETWORKING 2ND EDITION,BEHROUZ A FOROUZAN,TATA MCGRAW HILL
NC-CN-016,,,UNDERSTANDING COMMUNICATIONS AND NETWORKS,WILLIAM A. SHAY,THOMSON
NC-CN-017,,,COMPUTER NETWORKS,BHUSHAN TRIVEDI,OXFORD
PL-Java - 001,Programming Languages,JAVA,PROGRAMMIGN WITH JAVA A PRIMER ,BALAGURUSAMY,TATA MCGRAW HILL
PL-Java - 002,,,JAVA PROGRAMMING,D. S MALIK,INDIAN EDITION
PL-Java - 003,,,JAVA PROGRAMMING,D. S MALIK,INDIAN EDITION
PL-Java - 004,,,PROGRAMMING IN JAVA,S. S KHANDARE,S. CHAND
PL-Java - 005,,,JAVA 2 ESSENTIALS,CAY HORSTMANN,WILEY
PL-Java - 006,,,JAVA DEVELOPER'S GUIDE - TO E-COMMERCE WITH XML AND JSP,BILL BROGDEN,SYBEX
PL-Java - 007,,,OBJECT ORIENTED PROGRAMMING IN JAVA,DR. G. T. THAMPI,DREAMTEH
PL-Java - 008,,,INTRODUCTION TO OBJECT ORIENTED PROGRAMMING THROUGH JAVA,ISRD GROUP,TATA MCGRAW HILL
PL-Java - 009,,,PROGRAMMING IN JAVA,MALHOTRA CHOUDHARY,OXFORD
PL-Java - 010,,,THE COMPLETE REFERENCE JAVA,SCHILDT,TATA MCGRAW HILL
PL-AJava - 001,Programming Languages,ADVANCE JAVA,J2EE UNLEASHED,JOSEPH J. BAMBARA,TECHMEDIA
PL-AJava - 002,,,ADVANCE JAVA,GAJENDRA GUPTA,FIREWALL MEDIA
HD-MP-001,Hardware & Device,MP,"MICROPROCESSORS,PC HARDWARE AND INTERFACING",MATHIVANAV,PHI
HD-MP-002,,,ADVANCED MICROPROCESSORS,HARISH G NARULA,TECHMAX
HD-MP-003,,,ADVANCED MICROPROCESSORS AND MICROCONTROLLERS,S .K. VENKATA RAM,LAXMI PUBLICATIONS
HD-MP-004,,,MICROPROCESSORS AND MICROCONTROLLERS-I,"HARISH G NARULA,  U . S . SHAH",TECHMAX
HD-MP-005,,,Microprocessors and Interfacing,DOUGLAS V HALL,TATA MCGRAW HILL
HD-MP-006,,,FUNDAMENTALS OF DIGITAL ELECTRONICS AND MICROPROCESSORS,ANOKH SINGH,S. CHAND
HD-MP-007,,,8086 MICRORPROCESSORS,HEMAL DALAL,NANDU
HD-MP-008,,,FUNDAMENTALS OF MICROPROCESSORS AND ITS APPLICATION,ANOKH SINGH,S. CHAND
